Akiem Hicks,LTC (20-22),A Flawed Matrix,5
Bradley Chubb,LTC (20-22),A Flawed Matrix,25
Brandon Aiyuk,LTC (21-23),A Flawed Matrix,23
Cole Holcomb,LTC (21-23),A Flawed Matrix,9
Cory Littleton,LTC (21-23),A Flawed Matrix,8
Jessie Bates,LTC (20-22),A Flawed Matrix,10
Jordan Love,LTC (21-23),A Flawed Matrix,15
Justin Simmons,LTC (20-22),A Flawed Matrix,8
Khari Willis,LTC (21-23),A Flawed Matrix,10
La'Mical Perine,LTC (21-23),A Flawed Matrix,10
Marquez Valdes-Scantling,LTC (20-22),A Flawed Matrix,12
Preston Smith,LTC (20-22),A Flawed Matrix,8
Russell Gage,LTC (20-22),A Flawed Matrix,10
Sam Hubbard,LTC (20-22),A Flawed Matrix,6
Aaron Jones,LTC (21-23),Abdullah Oblongata,75
Daniel Jones,LTC (20-22),Abdullah Oblongata,47
Fred Warner,LTC (21-23),Abdullah Oblongata,8
Tyrann Mathieu,LTC (20-22),Abdullah Oblongata,8
Von Miller,LTC (20-22),Abdullah Oblongata,8
Adam Thielen,LTC (21-23),Aconcagua,14
Dak Prescott,LTC (19-21),Aconcagua,23
James Conner,LTC (19-21),Aconcagua,11
Jeremy Chinn,LTC (21-23),Aconcagua,16
Mike Evans,LTC (19-21),Aconcagua,30
Romeo Okwara,LTC (21-23),Aconcagua,5
Derrick Henry,LTC (20-22),Arg Thunder,82
Khalil Mack,LTC (20-22),Arg Thunder,56
Lamar Jackson,LTC (20-22),Arg Thunder,18
CeeDee Lamb,LTC (21-23),Boom or Bust,67
Dalvin Cook,LTC (19-21),Boom or Bust,45
Davante Adams,LTC (20-22),Boom or Bust,12
DeAndre Hopkins,LTC (20-22),Boom or Bust,15
Derwin James,LTC (21-23),Boom or Bust,8
Devin Bush,LTC (20-22),Boom or Bust,22
Devin White,LTC (20-22),Boom or Bust,20
Jabrill Peppers,LTC (19-21),Boom or Bust,8
Jonathan Taylor,LTC (21-23),Boom or Bust,60
Justin Herbert,LTC (21-23),Boom or Bust,36
Minkah Fitzpatrick,LTC (20-22),Boom or Bust,8
Roquan Smith,LTC (19-21),Boom or Bust,15
Adrian Amos,LTC (21-23),Brighton B52s,9
Allen Robinson,LTC (20-22),Brighton B52s,62
D.J. Moore,LTC (20-22),Brighton B52s,76
D'Andre Swift,LTC (21-23),Brighton B52s,69
Danielle Hunter,LTC (20-22),Brighton B52s,10
Deion Jones,LTC (20-22),Brighton B52s,16
Dre Greenlaw,LTC (20-22),Brighton B52s,8
Drue Tranquill,LTC (21-23),Brighton B52s,8
Kevin Byard,LTC (21-23),Brighton B52s,9
Raheem Mostert,LTC (20-22),Brighton B52s,10
Ronnie Harrison,LTC (21-23),Brighton B52s,9
Antoine Winfield Jr.,LTC (21-23),Cereal Killers,26
Baker Mayfield,LTC (19-21),Cereal Killers,54
Calvin Ridley,LTC (19-21),Cereal Killers,61
Jamal Adams,LTC (19-21),Cereal Killers,8
Joe Schobert,LTC (21-23),Cereal Killers,9
Myles Garrett,LTC (21-23),Cereal Killers,49
Nick Chubb,LTC (19-21),Cereal Killers,35
T.J. Watt,LTC (21-23),Cereal Killers,9
Bud Dupree,LTC (21-23),Choco Chips,9
Demario Davis,LTC (21-23),Choco Chips,9
Jonnu Smith,LTC (20-22),Choco Chips,6
Kareem Hunt,LTC (19-21),Choco Chips,61
Kenny Clark,LTC (21-23),Choco Chips,5
Laviska Shenault Jr.,LTC (21-23),Choco Chips,10
Odell Beckham Jr.,LTC (21-23),Choco Chips,43
Chase Claypool,LTC (21-23),DeadHead,18
Christian McCaffrey,LTC (21-23),DeadHead,64
Justin Jefferson,LTC (21-23),DeadHead,61
Terry McLaurin,LTC (21-23),DeadHead,10
Amari Cooper,LTC (21-23),Fitz got Hops,32
Chase Edmonds,LTC (21-23),Fitz got Hops,10
James Robinson,LTC (21-23),Fitz got Hops,10
Noah Fant,LTC (21-23),Fitz got Hops,13
Tyler Bass,LTC (21-23),Fitz got Hops,1
Austin Hooper,LTC (20-22),Fredericksburg Flames,8
Chris Godwin,LTC (21-23),Fredericksburg Flames,12
DeVante Parker,LTC (20-22),Fredericksburg Flames,22
DK Metcalf,LTC (20-22),Fredericksburg Flames,30
Hunter Henry,LTC (20-22),Fredericksburg Flames,7
Jared Goff,LTC (20-22),Fredericksburg Flames,18
Joe Mixon,LTC (19-21),Fredericksburg Flames,54
Joey Bosa,LTC (20-22),Fredericksburg Flames,49
Miles Sanders,LTC (20-22),Fredericksburg Flames,51
Tee Higgins,LTC (21-23),Fredericksburg Flames,14
Dallas Goedert,LTC (19-21),Keenan and Kittle,13
David Montgomery,LTC (21-23),Kylers  Heros,42
Kyler Murray,LTC (21-23),Kylers  Heros,104
Tyler Lockett,LTC (21-23),Kylers  Heros,21
Jerome Baker,LTC (20-22),Landry Parker and Associates,8
Mike Gesicki,LTC (20-22),Landry Parker and Associates,24
Mark Andrews,LTC (21-23),Lisbon City Chiefs,44
Antonio Gibson,LTC (21-23),Mad Cats,34
Chase Young,LTC (21-23),Mad Cats,41
Patrick Queen,LTC (21-23),Mad Cats,23
Sam Darnold,LTC (21-23),Mad Cats,37
Stefon Diggs,LTC (21-23),Mad Cats,33
T.J. Hockenson,LTC (21-23),Mad Cats,25
Alvin Kamara,LTC (20-22),PlayBills,72
Cooper Kupp,LTC (20-22),PlayBills,72
Darius Leonard,LTC (19-21),The Dudes,8
Mike Williams,LTC (19-21),The Dudes,17
Patrick Mahomes,LTC (21-23),The Dudes,93
Tyler Boyd,LTC (19-21),The Dudes,10
